"pa","bclim11","bclim12","bclim14","bclim15","bclim18","bclim2","bclim3","bclim4","bclim6","bclim7","bclim8","bclim9"
0,-4.19133329391479,305,16,37.1061592102051,100,17.1033325195312,42.4822006225586,832.56884765625,-12.7639999389648,40.2600021362305,15.826000213623,9.11466693878174
1,7.65333318710327,304,1,80.4153060913086,13,14.4476661682129,44.5475654602051,673.3935546875,0.907999992370605,32.431999206543,8.71399974822998,23.7586669921875
1,6.27799987792969,412,2,78.0073623657227,19,16.5179996490479,45.5292167663574,741.716857910156,-1.16799998283386,36.2799987792969,7.61666679382324,24.2573337554932
0,8.16399955749512,211,5,41.6481094360352,54,14.1069993972778,37.873176574707,886.510192871094,1.71200001239777,37.2479972839355,9.53400039672852,21.4133338928223
1,4.2960000038147,224,6,35.2503852844238,60,15.9213333129883,43.1753234863281,787.8955078125,-3.13599991798401,36.8760032653809,5.3546667098999,15.7440004348755
1,4.87866687774658,400,3,80.8346862792969,23,13.6133337020874,43.8517379760742,670.663024902344,-0.892000019550323,31.0440006256104,5.32133340835571,20.6106662750244
0,13.2026672363281,135,1,54.0509948730469,37,17.2743339538574,46.6873893737793,783.004577636719,4.26399993896484,37,31.9866676330566,25.5633335113525
0,9.30599975585938,206,3,44.4000854492188,52,15.6763334274292,41.8035583496094,843.795654296875,1.75999999046326,37.5,10.8186664581299,22.5233325958252
1,5.70466661453247,321,3,78.1261520385742,16,15.3173332214355,45.0668869018555,718.419799804688,-0.980000019073486,33.9879989624023,6.6506667137146,20.25
1,12.4973335266113,109,1,50.4729232788086,31,16.0006656646729,42.3611869812012,834.601623535156,4.46000003814697,37.7719993591309,32.4473342895508,25.5100002288818
0,5.44999980926514,581,2,76.1648483276367,56,15.2543334960938,47.8432235717773,641.972961425781,-1.19599997997284,31.8839988708496,6.04266691207886,18.1573333740234
0,7.84000015258789,423,0,90.7728729248047,12,19.5769996643066,52.3561172485352,643.520263671875,-1.07599997520447,37.3920021057129,8.91600036621094,23.3053340911865
1,5.18466663360596,150,3,47.8493690490723,40,17.6203327178955,43.4597778320312,840.217468261719,-3.56800007820129,40.544002532959,5.18466663360596,18.441333770752
1,6.14733362197876,261,6,36.349910736084,62,15.6526670455933,41.9777603149414,823.934997558594,-0.976000010967255,37.2880020141602,7.33599996566772,18.2746677398682
1,6.69933319091797,519,2,92.0149002075195,20,12.8920001983643,43.826488494873,647.878784179688,1.24000000953674,29.4160003662109,7.18466663360596,21.8526668548584
1,6.88800001144409,165,3,43.853931427002,45,14.6206665039062,39.3578834533691,845.571105957031,-0.100000001490116,37.1479988098145,8.46533393859863,19.9939994812012
1,5.90000009536743,470,2,90.2020568847656,22,14.1619997024536,42.8424491882324,721.857604980469,-0.248000010848045,33.0559997558594,6.93733358383179,23.2433319091797
1,7.83799982070923,307,1,94.1390228271484,7,15.3140001296997,43.3529624938965,751.983947753906,0.244000002741814,35.3240013122559,9.16066646575928,25.945333480835
1,9.2586669921875,88,2,45.2869644165039,20,16.9253330230713,41.4470901489258,882.005432128906,0.395999997854233,40.8359985351562,11.3000001907349,23.4759998321533
0,3.96000003814697,140,5,35.6788330078125,35,16.3320007324219,42.736026763916,809.721069335938,-3.66799998283386,38.2159996032715,5.45533323287964,16.4326667785645
1,9.48266696929932,116,2,42.3686141967773,29,14.2966661453247,37.0379943847656,899.720520019531,2.13599991798401,38.5999984741211,11.533332824707,24.2546672821045
