,lon,lat
Xantusia vigilis,-114.8061455,37.55221371
Xantusia vigilis,-115.088067,36.696117
Xantusia vigilis,-114.157357,37.051735
Xantusia vigilis,-118.0175716,35.65961006
Xantusia vigilis,-115.481438,36.485351
Xantusia vigilis,-115.686167,35.122833
Xantusia vigilis,-110.6372,37.4835
Xantusia vigilis,-115.254639,36.203483
Xantusia vigilis,-115.86283,35.777
Xantusia vigilis,-118.4875852,35.71455728
Xantusia vigilis,-117.8511662,34.65556448
Xantusia vigilis,-117.717167,34.54491842
Xantusia vigilis,-118.8683414,34.63728678
Xantusia vigilis,-118.4443599,35.78445684
Xantusia vigilis,-115.209427,36.031854
Xantusia vigilis,-118.01248,34.33259
Xantusia vigilis,-115.08655,35.514089
Xantusia vigilis,-117.870788,34.732012
Xantusia vigilis,-118.44366,37.53207
Xantusia vigilis,-118.7956159,34.74614334
Xantusia vigilis,-117.007386,35.079083
Xantusia vigilis,-118.1314816,36.05399943
Xantusia vigilis,-118.2237271,37.40190834
Xantusia vigilis,-118.50679,34.6857
Xantusia vigilis,-115.111549,36.158858
Xantusia vigilis,-119.4438251,34.79025648
Xantusia vigilis,-117.6660064,37.27943919
Xantusia vigilis,-114.8667,37.55
Xantusia vigilis,-116.8217124,35.5421465
Xantusia vigilis,-116.0172847,36.61658609
Xantusia vigilis,-117.6139704,34.42617238
Xantusia vigilis,-121.1975398,36.45237661
Xantusia vigilis,-116.0473463,36.70036394
Xantusia vigilis,-117.6600337,34.45190936
Xantusia vigilis,-115.563699,36.408261
Xantusia vigilis,-117.762523,34.770737
Xantusia vigilis,-117.649198,34.676172
Xantusia vigilis,-115.141696,36.053822
Xantusia vigilis,-118.4146764,34.77505128
Xantusia vigilis,-118.1667,35.05
Xantusia vigilis,-118.1117135,34.58133667
Xantusia vigilis,-118.214,37.4028
Xantusia vigilis,-115.055369,35.510092
Xantusia vigilis,-115.244472,36.450694
Xantusia vigilis,-118.4324295,37.43755799
Xantusia vigilis,-117.1436212,34.69605632
Xantusia vigilis,-117.691295,34.696052
Xantusia vigilis,-113.976999,37.007728
Xantusia vigilis,-118.0318305,33.97748197
Xantusia vigilis,-118.294444,35.1
Xantusia vigilis,-118.1667,35.23333
Xantusia vigilis,-117.0366051,35.02924522
Xantusia vigilis,-117.2549699,34.41264923
Xantusia vigilis,-117.601187,34.777291
Xantusia vigilis,-117.88715,35.35983
Xantusia vigilis,-118.7989139,35.48892176
Xantusia vigilis,-116.185713,36.002475
Xantusia vigilis,-118.295442,35.687369
Xantusia vigilis,-115.340186,36.202528
