"","lon","lat"
"166",-120.744926761193,36.729178494163
"168",-118.225022186512,36.8025688826379
"171",-115.233639,36.484083
"173",-116.644598148859,34.9521609478779
"175",-117.662356,34.44748
"176",-116.52756,33.127239999136
"177",-114.041238,37.086259
"179",-117.780366,34.751041
"180",-118.535691520078,34.7078932345041
"181",-117.795966,34.661667
"184",-118.477975472775,35.9454145801287
"185",-113.88584,37.0655299990923
"186",-115.35926,36.035151
"187",-118.243698,35.109579
"188",-115.80239,35.3831099991089
"189",-116.998639,34.410917
"190",-117.642600798938,34.4993981796728
"191",-117.418757689985,34.5065815369
"192",-116.273858,35.980483
"193",-114.679457738092,35.1691305418071
"196",-113.2167,34.5333
"197",-115.057987,36.08179
"198",-118.507175877664,35.5550191844411
"199",-116.018917,36.680558
"200",-115.062514439499,34.9191344858762
"201",-118.45872,37.58833
"206",-117.999817,35.0181
"207",-116.479870756908,34.7005887479075
"209",-117.20532,34.6237199991175
"210",-121.185915,36.4363
"211",-115.5629,35.341917
"212",-118.231966776654,35.5809025141439
"213",-117.644643623701,35.7237261218246
"216",-116.35519,32.9761699991381
"217",-113.5565,36.9478
"220",-115.951607382123,36.0795292653285
"221",-118.123898954869,35.7371333463818
"222",-118.301,35.664467
"223",-118.141347,35.412692
"224",-117.773342,34.594273
"225",-117.64591987152,34.4989881677733
"227",-117.828875,36.639958
"228",-118.171622,34.888571
"229",-116.4036,33.0372
"230",-117.668173597402,35.0064564017054
"231",-115.71962,36.1525899991009
"232",-118.18349,34.48029
"234",-114.79477,37.616058
"236",-117.559438863843,35.4640532963538
"237",-115.551877,35.082733
"239",-115.5755,34.92227
"240",-118.170346,34.719932
"241",-121.187698,36.514352
"242",-118.439218530999,35.6679978079188
"243",-115.050974,36.100894
"244",-115.92782813437,36.2049264133732
"246",-117.13875,34.48745
"248",-119.430044166607,34.8218427239737
"249",-117.920278,34.704297
"250",-118.838164489697,35.6429935369987
"251",-116.225271382639,35.8393062341101
"255",-117.632968,34.776488
"256",-118.395952420622,34.9097418116375
"259",-114.93761,36.747142
"260",-115.137778,36.512333
"262",-115.518275478631,35.5405065116761
"263",-117.836506631064,34.435803568228
"265",-114.3,35.45
"266",-118.0723,34.31021
"268",-118.200453396991,35.0511074570565
"269",-117.89,34.58
"270",-119.430169170457,34.8219367205299
"272",-115.506145601338,34.9824798769059
"273",-115.287528,36.459444
"274",-118.029758159454,34.3450127168157
"275",-115.79175,35.155933
"276",-119.714898253839,35.0636701666078
"277",-115.122572,35.514687
"279",-116.38619,33.1389199991359
"282",-117.191634373771,34.8964706395253
"283",-118.21080777481,34.9691615501853
"284",-118.207726,35.518943
"285",-118.30626218961,34.702337013837
"286",-115.269171,36.020176
"288",-117.308538969229,34.3906484651215
"289",-117.984742,35.333737
"290",-118.24272499139,35.1096346153897
"292",-117.138813141944,34.8964710061645
"293",-118.078955,34.572992
"294",-118.134033521407,34.0447923595446
"295",-113.8138,35.0274
"296",-117.886681258423,34.5799472841039
"297",-116.571173,34.828006
"298",-115.25117,36.159158
"300",-116.41359,33.130759999136
"301",-117.9,34.6333
"302",-118.343648249873,34.6252498367669
"303",-118.023017,34.530356
"304",-118.178740732962,35.2250160539547
"305",-116.31,36.93472
"306",-115.427104,36.138977
"307",-116.375613773035,34.7467902240634
"308",-115.300583,36.814583
"309",-115.473355,35.010991
"310",-115.9944,36.6605
"311",-116.965667,34.63
"312",-115.461013,36.163295
"313",-117.65005,35.010383
"314",-117.9,36.6878
"315",-117.720714,34.692102
"316",-116.609201541087,34.8752452197881
"317",-114.831565,35.484395
"318",-118.073917284677,35.6903998820256
"319",-115.643624,34.979734
"320",-119.046135998312,34.7829305520399
"321",-117.813217815704,35.7470343320551
"322",-117.8599,34.42112
"323",-119.357583,34.837522
"324",-114.0193,36.54232
"325",-116.549792454141,33.1527037967752
"326",-117.790792597262,35.4015532538912
"328",-115.316101,35.521652
"329",-113.799335142679,32.2200952523335
"330",-117.071384613532,36.2311417467033
"331",-117.648272,34.769696
"332",-116.946167,34.387
