bclim1,bclim10,bclim11,bclim12,bclim13,bclim14,bclim15,bclim16,bclim17,bclim18,bclim19,bclim2,bclim3,bclim4,bclim5,bclim6,bclim7,bclim8,bclim9
21.12416649,32.0933342,10.49933338,79,12,1,48.51937103,30,6,21,29,17.56433296,42.49572372,891.7952271,42.56800079,1.236000061,41.33200073,12.48466682,24.5359993
14.84833336,24.81666565,6.016666889,269,42,4,45.79410172,93,29,84,87,13.56133366,40.17458725,778.8481445,33.56399918,-0.192000002,33.75600052,6.772666931,16.77733421
14.42599964,21.38400078,8.415333748,462,91,0,92.33646393,259,4,12,250,16.51000023,52.50604248,536.1489868,32.23600006,0.791999996,31.44400024,9.147333145,21.06666756
16.07266617,20.14466667,13.07866669,327,72,1,99.3116684,190,4,9,190,8.756666183,53.38128662,295.3794861,25.05200005,8.647999763,16.40399933,13.0826664,19.20933342
15.00599957,24.11266708,7.04066658,358,72,1,92.93239594,206,7,11,196,14.14466667,43.15029526,707.4133911,33.31999969,0.540000021,32.77999878,8.057999611,23.89533424
20.37100029,31.91533279,9.564666748,111,15,2,41.62613297,42,12,27,36,14.60999966,37.20207596,911.2164307,41.19599915,1.924000025,39.27199936,11.71399975,24.63333321
15.3791666,25.36600113,6.27733326,273,43,6,44.99643326,95,28,79,81,13.62100029,39.90215683,786.1043091,33.9679985,-0.167999998,34.13599777,25.05733299,18.0359993
12.30783367,21.39400101,4.177333355,371,65,4,79.04302979,187,18,26,187,14.86166668,44.34730148,715.2471313,31.22399902,-2.288000107,33.51200104,4.177333355,18.45066643
16.03050041,25.58866692,7.42266655,299,47,6,44.43649292,105,29,85,88,14.31766605,42.56649399,750.7981567,34.36000061,0.723999977,33.63600159,25.28666687,18.56933403
9.622833252,17.61666679,3.191999912,613,110,3,81.71525574,305,19,28,305,12.73433304,44.30257797,599.3308105,26.42000008,-2.32400012,28.74399948,3.191999912,16.98333359
20.03516579,31.40999985,9.357999802,116,17,2,45.63706207,46,11,28,41,13.78166676,36.27900314,899.0380249,40.2879982,2.299999952,37.98799896,11.44200039,24.18133354
16.48699951,26.17000008,7.444666862,163,32,1,82.36143494,87,6,7,85,16.49799919,43.65474319,769.9383545,36.43199921,-1.360000014,37.79199982,9.272666931,23.64333344
12.69250011,21.63800049,4.640666485,350,62,3,79.20354462,177,17,24,177,14.60833359,44.29989243,706.8525391,31.30400085,-1.671999931,32.97600174,4.640666485,18.84199905
14.75783348,22.98333359,7.743999958,372,73,1,91.31302643,203,6,10,201,14.81299973,47.04929733,631.2580566,32.55199814,1.067999959,31.48399734,8.434000015,22.65066719
13.74966621,22.79066658,5.606666565,287,50,3,77.49152374,143,14,22,143,15.14466667,44.79080582,713.4519043,32.64799881,-1.164000034,33.81200027,5.606666565,19.91666603
16.55083275,25.83866692,7.883333206,98,16,1,61.15345001,46,7,10,45,18.13433266,46.99474716,739.0877686,37.38800049,-1.200000048,38.58800125,8.478666306,23.36933327
18.04899979,28.72866631,8.176667213,126,16,3,35.66085052,43,16,32,39,14.70400047,39.48442841,840.0961914,38.22399902,0.984000027,37.23999786,9.837333679,21.55599976
16.97816658,26.96733284,7.721333504,96,17,1,61.22578812,44,6,10,44,16.88899994,43.72217178,790.7327881,37.84799957,-0.779999971,38.62799835,8.279999733,24.38999939
17.80316734,27.55333328,8.852000237,125,24,1,72.94623566,63,6,10,63,15.89766693,43.24718857,770.9222412,37.65600204,0.895999968,36.76000214,10.3579998,25.01666641
13.42766666,22.92133331,5.193333626,320,46,5,44.91598129,113,35,97,101,13.47733307,41.44831467,736.6726685,31.68400002,-0.832000017,32.51599884,5.699999809,15.02066708
6.604833126,15.74466705,-1.507333398,513,90,8,71.86629486,249,34,47,249,14.09366703,42.5071373,712.4776001,25.47200012,-7.684000015,33.15599823,-1.507333398,12.35933304
18.44949913,27.12733269,10.85400009,305,57,2,76.77696228,158,15,29,153,17.05966568,49.35103989,670.5230103,37.56399918,2.996000051,34.56800079,11.62133312,23.82999992
15.69666672,24.43799973,7.571333408,223,40,1,76.5944519,115,11,11,111,17.2859993,47.75666046,698.8508301,35.5719986,-0.624000013,36.19599915,8.83133316,21.89999962
13.89033318,22.94133377,5.704666615,321,56,3,78.12615204,162,16,16,160,15.31733322,45.0668869,718.4197998,33.00799942,-0.980000019,33.98799896,6.650666714,20.25
14.93449974,24.79933357,5.910666466,248,38,5,45.32115936,85,25,70,78,13.41833305,39.41931152,783.578186,33.75600052,-0.284000009,34.04000092,6.881333351,17.19266701
14.27999973,20.86800003,8.770667076,535,98,2,88.17642975,283,8,15,272,17.67733383,56.2184639,499.5412903,32.56399918,1.120000005,31.44399834,9.138667107,20.13800049
19.40633392,30.37133408,9.078666687,155,22,3,45.69911194,59,15,39,50,13.38066673,36.79646301,870.913208,39.14400101,2.779999971,36.36400223,10.87333393,23.17866707
17.73066711,28.78199959,7.335333347,144,20,3,43.63770676,53,15,38,47,15.0773325,39.12532043,876.9786377,38.4679985,-0.068000004,38.5359993,9.211999893,21.30200005
